原文,推荐译文,说明
エルゼ,埃尔泽,分类: 概念; 备注: 被神选中的“成り駒”，故事的主角
ラヴェー,拉维,分类: 概念; 备注: 普通的“駒”，与埃尔泽相对
ウェルフィセル,维尔菲谢尔,分类: 概念; 备注: 意为“世界之壁”，耶斯卡试图跨越它逃离这个世界
ファイクレオネ,法伊克雷欧涅,分类: 地名; 备注: 故事所在世界的名称
シャーツニアー,夏茨尼亚,分类: 身份; 备注: 利帕拉欧内教的某种宗教职位，女性担任
ジェパーシャーツニアー,杰帕夏茨尼亚,分类: 身份; 备注: 统括夏茨尼亚的上级职位
フラニザ,弗拉尼扎,分类: 服饰; 备注: 夏茨尼亚的白色服装
カリアホ,卡莉亚霍,性别: 女性; 备注: 神秘少女，全名卡莉亚霍·斯卡鲁姆雷，穿着传统服装，来自哈特王国的王室成员
スカルムレイ,斯卡鲁姆雷,分类: 人名; 备注: 卡莉亚霍的姓氏
ガルタ,加尔塔,性别: 男性; 备注: 卡莉亚霍的同伴，外表粗犷的青年，全名加尔塔·肯索迪斯纳尔
ケンソディスナル,肯索迪斯纳尔,分类: 人名; 备注: 加尔塔的姓氏
インファーニア・ド・ア・スキュリオーティエ・インリニア,因法尼亚·多·阿·斯克利欧提·因利尼亚,性别: 女性; 备注: 带刀少女，在图书馆与翠相遇，全名因法尼亚·多·阿·斯克利欧提·因利尼亚，自称因利尼亚
インリニア,因利尼亚,性别: 女性; 备注: 对因法尼亚的简称或昵称
スキュリオーティエ,斯克利欧提,分类: 人名; 备注: 因利尼亚的家族姓氏
スカースナ・ハルトシェアフィス・エレーナ,苏卡丝那·哈尔特谢阿菲斯·埃琳娜,性别: 女性; 备注: 埃琳娜的全名
ラーデミンのコア,拉登民的核心,分类: 物品; 备注: 夕张悠里提及的神秘物品，用于制造主人公
アフの子孫,阿夫的后裔,分类: 概念; 备注: 夕张悠里提及的概念，据说能改变世界
八ヶ崎和葉,八崎和叶,分类: 人名; 备注: 夕张悠里提及的人物，八崎翔太的家族成员
八ヶ崎燐,八崎燐,分类: 人名; 备注: 夕张悠里提及的人物，八崎翔太的家族成员
八ヶ崎翠（みどり）,八崎翠（绿）,性别: 女性; 备注: 八崎翔太家系中被诱拐的女孩，被认为是八崎翠（主人公）的原型
レシェール・クラディア,雷歇尔·克拉迪亚,性别: 女性; 备注: 银发少女，自称翔太的同伴，性格冷淡
八ヶ崎翔太,八崎翔太,性别: 男性; 备注: 自称与翠同为“被创作的主人公”，与夕张悠里对抗
国連,联合国,分类: 组织; 备注: 国际组织，在故事中派遣了国联军（UNAWEF），不是指现实中的联合国
CSTO,CSTO,分类: 组织; 备注: 集体安全条约组织，与翠等人接触的武装组织
パトリック・S・ウィルコックス,帕特里克·S·威尔科克斯,性别: 男性; 备注: 国联军（UNAWEF）的指挥官，拥有上校军衔
アレス・シャル,阿莱斯·夏尔,性别: 女性; 备注: 夕张悠里的同伴，短发少女，自称作品之一
ユフィア,尤菲亚,性别: 女性; 备注: 叙事诗《斯克利欧提教典》中的英雄人物，统治着纳贾尔特藩国
スキュリオーティエ・ユフィア,斯克利欧提·尤菲亚,分类: 人名; 备注: 尤菲亚的全名
サフィア,萨菲亚,性别: 女性; 备注: 《斯克利欧提教典》中的敌对人物，被称为恶魔，是尤菲亚的敌人
ディエス・イレ,愤怒之日,分类: 概念; 备注: 一首关于末日审判的著名拉丁语诗歌
リパラオネ教,利帕拉欧内教,分类: 宗教; 备注: 夏莉雅信仰的宗教，与斯克利欧提教典有联系
フィメノーウル,菲美诺乌尔,分类: 宗教; 备注: 古代维菲斯人信仰的宗教，可能是自然崇拜
リノーツ,里诺茨,分类: 概念; 备注: 菲美诺乌尔信仰中的图腾或神圣动物
ピリフィアー歴,皮利菲亚历,分类: 概念; 备注: 法伊克雷欧涅世界通用的历法
修正リパラオネ暦,修正利帕拉欧内历,分类: 概念; 备注: 谢尔肯传统中使用的历法
古リパーシェ,古利帕谢,分类: 文字; 备注: 古典利内帕涅语中使用的文字体系
デュテュスン・リパーシェ,杜特尤森·利帕谢,分类: 文字; 备注: 现代利内帕涅语中使用的文字体系，正字法改革后确立
内閣情報調査室,内阁情报调查室,分类: 组织; 备注: 日本的情报机构，桥本七海所属
橋本七海,桥本七海,性别: 女性; 备注: 日本内阁情报调查室的谍报员，化名雪泽丰雨潜伏在大使馆
雪沢豊雨,雪泽丰雨,性别: 女性; 备注: 桥本七海的化名，伪装成日本大使馆的外交官补
ベイクドモチョチョ,贝库多莫乔乔,分类: 物品; 备注: 一种类似今川烧的异世界点心
シェルケン,谢尔肯,分类: 组织; 备注: 宗教性武装集团，利帕拉欧内教的敌对者，被伊耶斯卡等人视为“异教徒”
シェルケン・フィレナ,谢尔肯·菲蕾娜,性别: 女性; 备注: 被自衛隊俘虜的谢尔肯成员，黑发少女，实为内特尼亚
シェルケン・ヴァルトル,谢尔肯·瓦尔特,分类: 组织; 备注: 过激派的谢尔肯派系，是东京袭击的主谋
ファルトクノア,法尔特克诺亚,分类: 地名; 备注: 尤艾斯雷欧涅联邦的成员国之一，阿格里夫们居住的地区
イ・ルヴィツァ,伊·卢维察,分类: 地名; 备注: 法尔特克诺亚共和国的首都，日本大使馆所在地
デュイン,杜因,分类: 地名; 备注: 尤艾斯雷欧涅联邦的成员国之一，是杜因战争的发生地
ラッテンメ,拉滕美,分类: 种族; 备注: 拥有动物耳朵和尾巴的人型种族，也被称为兽人
アグリェフ,阿格里夫,分类: 种族; 备注: 与拉滕美同义，兽人的称呼
MLFF,MLFF,分类: 组织; 备注: 全称“我辈拉内米亚人自由解放之法拉维”，支持阿格里夫的团体
イプラジットリーヤ・アレス・レヴィア,伊普拉吉特里雅·阿莱斯·勒维亚,性别: 女性; 备注: MLFF的领袖，是一名理性的阿格里夫女性


チーレム,后宫,直译“作弊后宫”，一般指异世界靠金手指开的后宫，是cheat和harem的合成词。简单译作“后宫”即可
シェノネン　ウー,斜诺嫩 乌,xenonen ur，似乎是字母ઞ的名称
-sti,-丝缇,利内帕涅语对人名使用的呼格后缀
セネスティ|cenesti,塞内丝缇,翠的呼格音译
リパライン|lipalain,利帕莱茵,利帕莱茵族、利帕莱茵语（利内帕涅语）、利帕莱茵联邦……等等。注意： リパライン|lipalain|利帕莱茵 和 リネパーイネ|lineparine|利内帕涅 是不同的词。
